0.00,0.00,0.00,0.00
0.01,0.00,0.00,0.00
0.03,0.00,0.00,0.00
0.05,0.00,0.00,0.00
0.07,0.00,0.00,0.00
0.09,0.00,0.00,0.00
0.11,0.00,0.00,0.00
0.13,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.17,0.00,0.00,0.00
0.19,0.00,0.00,0.00
0.21,0.00,0.00,0.00
0.23,0.00,0.00,0.00
0.25,0.00,0.00,0.00
0.27,0.00,0.00,0.00
0.29,0.00,0.00,0.00
0.31,0.00,0.00,0.00
0.33,0.00,0.00,0.00
0.35,0.00,0.00,0.00
0.37,0.00,0.00,0.00
0.39,0.00,0.00,0.00
0.41,0.00,0.00,0.00
0.43,0.00,0.00,0.00
0.45,0.00,0.00,0.00
0.47,0.00,0.00,0.00
0.49,0.00,0.00,0.00
0.51,0.00,0.00,0.00
0.53,0.00,0.00,0.00
0.55,0.00,0.00,0.00
0.57,0.00,0.00,0.00
0.59,0.00,0.00,0.00
0.61,0.00,0.00,0.00
0.63,0.00,0.00,0.00
0.65,0.00,0.00,0.00
0.67,0.00,0.00,0.00
0.69,0.00,0.00,0.00
0.71,0.00,0.00,0.00
0.73,0.00,0.00,0.00
0.75,0.00,0.00,0.00
0.77,0.00,0.00,0.00
0.79,0.00,0.00,0.00
0.81,0.00,0.00,0.00
0.83,0.00,0.00,0.00
0.85,0.00,0.00,0.00
0.87,0.00,0.00,0.00
0.89,0.00,0.00,0.00
0.91,0.00,0.00,0.00
0.93,0.00,0.00,0.00
0.95,0.00,0.00,0.00
0.97,0.00,0.00,0.00
0.99,0.00,0.00,0.00
1.01,0.00,0.00,0.00
1.03,0.00,0.00,0.00
1.05,0.00,0.00,0.00
1.07,0.00,0.00,0.00
1.09,0.00,0.00,0.00
1.11,0.00,0.00,0.00
1.13,0.00,0.00,0.00
1.15,0.00,0.00,0.00
1.17,0.00,0.00,0.00
1.20,0.00,0.00,0.00
1.22,0.00,0.00,0.00
1.24,0.00,0.00,0.00
