9.90,4.83,4.68,3.01,12.00,753.41,707.61
10.00,4.83,4.72,3.03,12.00,753.39,719.72
10.10,4.85,4.78,3.03,12.00,761.50,737.23
10.20,4.85,4.82,3.01,12.00,761.50,750.15
10.30,4.88,4.85,2.98,12.00,769.57,761.50
10.40,4.85,4.85,3.00,12.00,761.50,761.49
10.50,4.83,4.85,2.98,12.00,753.41,761.50
10.60,4.87,4.84,2.98,12.00,769.38,758.60
10.70,4.93,4.85,3.02,12.00,785.75,761.51
10.80,4.93,4.87,3.00,12.00,785.75,766.69
10.90,4.93,4.90,3.00,12.00,785.74,777.66
11.00,4.93,4.90,3.00,12.00,785.76,777.66
11.10,4.93,4.89,3.03,12.00,785.75,773.01
11.20,4.93,4.93,2.98,12.00,785.75,785.75
11.30,4.93,4.93,3.00,12.00,785.76,785.76
11.40,4.94,4.93,3.02,12.00,791.80,785.76
11.50,5.00,4.93,3.02,12.00,810.00,785.75
11.60,5.00,4.96,3.00,12.00,810.00,796.31
11.70,5.00,4.98,3.00,12.00,810.00,801.92
11.80,4.98,5.00,2.98,12.00,804.46,810.00
11.90,4.99,4.99,2.99,12.00,807.74,807.18
12.00,4.98,4.96,2.98,12.00,802.53,797.72
12.10,4.94,4.93,3.00,12.00,789.98,785.76
12.20,4.95,5.00,2.98,12.00,792.63,810.00
12.30,4.99,4.95,2.99,12.00,806.47,793.85
12.40,4.98,4.97,2.98,12.00,804.34,798.71
12.50,5.00,5.00,3.00,12.00,810.00,810.00
12.60,5.00,4.96,3.02,12.00,810.00,796.92
12.70,5.00,4.98,3.00,12.00,810.00,801.92
12.81,5.00,5.00,2.98,12.00,810.00,810.00
12.91,5.00,5.00,3.00,12.00,810.00,810.00
13.01,5.00,5.00,3.02,12.00,810.00,810.00
13.11,5.00,5.00,3.01,12.00,810.00,810.00
13.21,5.00,5.00,3.00,12.00,810.00,810.00
13.31,5.00,5.00,3.03,12.00,810.00,810.00
13.41,5.00,5.00,2.98,12.00,810.00,810.00
13.51,5.00,5.00,3.02,12.00,810.00,810.00
13.61,5.00,5.00,3.00,12.00,810.00,810.00
13.71,5.00,5.00,2.98,12.00,810.00,810.00
13.81,5.00,5.00,2.99,12.00,810.00,810.00
13.91,5.00,5.00,2.98,12.00,810.00,810.00
14.01,5.00,5.00,3.00,12.00,810.00,810.00
14.11,5.00,5.00,3.03,12.00,810.00,810.00
14.21,5.00,5.00,2.97,12.00,810.00,810.00
14.31,5.00,5.00,2.98,12.00,810.00,810.00
14.41,5.00,5.00,3.03,12.00,810.00,810.00
14.51,5.00,5.00,3.00,12.00,810.00,810.00
14.61,5.00,5.00,3.00,12.00,810.00,810.00
14.71,5.00,5.00,3.00,12.00,810.00,810.00
14.81,5.00,5.00,3.03,12.00,810.00,810.00
14.91,5.00,5.00,3.00,12.00,810.00,810.00
15.01,5.00,5.00,3.03,12.00,810.00,810.00
15.11,5.00,5.00,3.02,12.00,810.00,810.00
15.21,5.00,5.00,3.03,12.00,810.00,810.00
15.31,5.00,5.00,3.03,12.00,810.00,810.00
15.41,5.00,5.00,3.00,12.00,810.00,810.00
15.51,5.00,5.00,2.99,12.00,810.00,810.00
